DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
advil migraine,Inflammation of the Joints due to Gout,238.0,mild  itching,867.0,
advil pm,Mild to Moderate Alzheimer's Type Dementia,236.0,nausea  or  vomiting  may occur.,864.0,
advil pm tablet,Contact Dermatitis,236.0,injection site reactions (such as pain,860.0,
advil tablet,Deficient Activity of the Testis,231.0,or changes in sexual ability may occur.,858.0,
"advil tablet, chewable",Strep Throat and Tonsillitis,231.0,shortness of breath,839.0,
adzenys xr-odt,Sensation of Spinning or Whirling,230.0,changes in taste,819.0,
aerospan hfa aerosol with adapter,Rash,230.0,tiredness/ weakness,817.0,
afatinib tablet,Abnormal Heart Rhythm,229.0,increased  coughing,812.0,
afeditab cr,Bronchitis caused by the Bacteria Streptococcus Pneumoniae,228.0,stomach  upset or gas may occur.,789.0,
afinitor,Genital Herpes,228.0,joint /bone/ muscle pain,778.0,
afrezza cartridge with inhaler,Ulcerative Colitis currently Without Symptoms,227.0,night sweats,751.0,
afrin aerosol mist,Serious Decrease in Thyroid Function,227.0,upset stomach  may occur.,746.0,
afrin sinus (oxymetazoline) 0.05 % nasal spray,Diabetes,226.0,impotence,743.0,
"afrin spray, non-aerosol",Facial Nerve Pain,225.0,headache  or  diarrhea  may occur.,741.0,
aftera,Hives,223.0,this drug usually has no side effects.,737.0,
agalsidase beta 35 mg intravenous solution,Inflammation of the Lining of a Joint,217.0,dizziness  or  lightheadedness  may occur as your body adjusts to the  medication .,732.0,
aggrenox,Pulmonary Arterial Hypertension,216.0,hot flashes  (flushing),720.0,
agrylin,Prevention for a Blood Clot going to the Brain,216.0,or  tooth problems  may occur.,720.0,
aimovig (2 pack) auto-injector,Advanced Form of Prostate Cancer,215.0,very watery  bowel movements  are expected with this  medication .  nausea,716.0,
aimovig auto-injector,Supraventricular Cardiac Arrhythmia,215.0,or a feeling of spinning may occur.,703.0,
"air tablet, sublingual",Prevent Kidney Transplant Rejection,212.0,skin  redness/irritation at the application site,700.0,
airborne,Sinus Irritation and Congestion,211.0,and abdominal  bloating  may occur.,695.0,
"airborne 1,000 mg-50 mg effervescent tablet",Stomach Ulcer,207.0,,,
airduo respiclick 232 mcg-14 mcg/actuation breath activated,Shingles,207.0,,,
ajovy syringe,Vaginal Inflammation due to Loss of Hormone Stimulation,206.0,,,
ak-poly-bac ointment,Inflammation of the Esophagus with Erosion,206.0,,,
akten gel,Runny Nose,206.0,,,
akynzeo,Sarcoidosis,204.0,,,
ala seb shampoo,Treatment to Prevent a Heart Attack,203.0,,,
ala-hist ir,Prevention of Blood Clots in the Brain,201.0,,,
ala-hist pe,Ulcer of Duodenum caused by Bacteria Helicobacter Pylori,201.0,,,
